date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2016-08-15,Lentils - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-09-15,Lentils - Retail,KG,pulses and nuts,205.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-10-15,Lentils - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-04-15,Pasta - Retail,500 G,cereals and tubers,60.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-05-15,Pasta - Retail,500 G,cereals and tubers,48.5,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-06-15,Pasta - Retail,500 G,cereals and tubers,52.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-07-15,Pasta - Retail,500 G,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-08-15,Pasta - Retail,500 G,cereals and tubers,42.5,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-09-15,Pasta - Retail,500 G,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-10-15,Pasta - Retail,500 G,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-11-15,Pasta - Retail,500 G,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-12-15,Pasta - Retail,500 G,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-01-15,Pasta - Retail,500 G,cereals and tubers,45.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-02-15,Pasta - Retail,500 G,cereals and tubers,35.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-03-15,Pasta - Retail,500 G,cereals and tubers,35.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-07-15,Pasta - Retail,500 G,cereals and tubers,30.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-08-15,Pasta - Retail,500 G,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-09-15,Pasta - Retail,500 G,cereals and tubers,35.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2016-10-15,Pasta - Retail,500 G,cereals and tubers,50.0,DZD,Algeria,Alger,344,Algiers,1794,112,15,28,1,1794_112_15_28,
2015-04-15,Tomatoes - Retail,KG,vegetables and fruits,90.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-05-15,Tomatoes - Retail,KG,vegetables and fruits,91.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-06-15,Tomatoes - Retail,KG,vegetables and fruits,72.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-07-15,Tomatoes - Retail,KG,vegetables and fruits,55.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-08-15,Tomatoes - Retail,KG,vegetables and fruits,41.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-09-15,Tomatoes - Retail,KG,vegetables and fruits,100.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-10-15,Tomatoes - Retail,KG,vegetables and fruits,100.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-11-15,Tomatoes - Retail,KG,vegetables and fruits,69.5,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
